Session,Class,Course Title,Instructor,Date,Start Time,End Time,Building & Room,Campus
Spring 2025,EENG 401 M01,Communication Theory,Wernicki,05/15/2025,12:45:00 PM,2:45:00 PM,"Guiliano Global Ctr., Rm. 606",New York City
Spring 2025,EENG 401 W01,Communication Theory,Belkharraz,05/16/2025,10:30:00 AM,12:30:00 PM,"Harry J. Schure Hall, Rm. 234",Long Island
Spring 2025,EENG 403 M01,Electronics Laboratory IV,Saito,05/14/2025,3:00:00 PM,5:00:00 PM,"Guliano Global Ctr., Rm. 904",New York City
Spring 2025,EENG 403 W01,Electronics Laboratory IV,Marsicano,05/14/2025,8:15:00 AM,10:15:00 AM,"Harry J. Schure Hall, Rm. B11",Long Island
Spring 2025,EENG 419 W01,Med Devices: Embedded Sys App,Farajidavar,05/13/2025,5:24:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 235",Long Island
Spring 2025,EENG 483 M01,Introduction to Vlsi Design,Artan,05/13/2025,5:45:00 PM,8:24:00 PM,"Guiliano Global Ctr., Rm. 405",New York City
Spring 2025,EENG 483 W01,Introduction to Vlsi Design,Artan,05/13/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 228",Long Island
Spring 2025,EENG 489 M01,Senior Design Project I,Khalaj Amineh,05/14/2025,10:30:00 AM,12:30:00 PM,"Guiliano Global Ctr., Rm. 607",New York City
Spring 2025,EENG 489 W01,Senior Design Project I,Ilyas,05/16/2025,8:15:00 AM,10:15:00 AM,"Harry J. Schure Hall, Rm. 122",Long Island
Spring 2025,EENG 491 M01,Senior Design Project II,Dong,05/13/2025,8:15:00 AM,10:15:00 AM,"Guiliano Global Ctr., Rm. 607",New York City
Spring 2025,EENG 491 W01,Senior Design Project II,Alghazali,05/16/2025,8:15:00 AM,10:15:00 AM,Zoom,Long Island
Spring 2025,EENG 504 W01,Intro Electr Cir,Ilyas,05/15/2025,12:45:00 PM,2:45:00 PM,"Harry J. Schure Hall, Rm. 102",Long Island
Spring 2025,EENG 505 M01,Fundamentals of Digital Logic,Stietzel,05/14/2025,5:30:00 PM,8:10:00 PM,"16 W. 61st St., Rm. 721",New York City
Spring 2025,EENG 505 W02,Fundamentals of Digital Logic,Sassoon,05/12/2025,12:45:00 PM,2:45:00 PM,"Anna Rubin Hall, Rm. 309",Long Island
Spring 2025,EENG 508 W01,Electrical Circuits II,Belkharraz,05/15/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 118",Long Island
Spring 2025,EENG 512 M01,Control Systems,Wadoo,05/16/2025,12:45:00 PM,2:45:00 PM,"16 W. 61st St., Rm. 722",New York City
Spring 2025,EENG 514 M01,Signals and Systems,Dong,05/15/2025,12:45:00 PM,2:45:00 PM,"Guiliano Global Ctr., Rm. 408",New York City
Spring 2025,EENG 515 M01,Random Signals and Statistics,Wernicki,05/14/2025,10:30:00 AM,12:30:00 PM,"Guiliano Global Ctr., Rm. 408",New York City
Spring 2025,EENG 518 M01,Communication Theory,Wernicki,05/15/2025,12:45:00 PM,2:45:00 PM,"Guiliano Global Ctr., Rm. 606",New York City
Spring 2025,EENG 518 W01,Communication Theory,Belkharraz,05/16/2025,10:30:00 AM,12:30:00 PM,"Harry J. Schure Hall, Rm. 206",Long Island
Spring 2025,EENG 611 M01,Radar System Analysis,Chalise,05/14/2025,5:45:00 PM,8:24:00 PM,"16 W. 61st St., Rm. 722",New York City
Spring 2025,EENG 611 W01,Radar System Analysis,Chalise,05/14/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 125",Long Island
Spring 2025,EENG 641 M01,Computer Architecture I,Colef,05/15/2025,5:45:00 PM,8:24:00 PM,Zoom,New York City
Spring 2025,EENG 641 W02,Computer Architecture I,Colef,05/15/2025,5:45:00 PM,8:24:00 PM,Zoom,Long Island
Spring 2025,EENG 650 M01,Medical Devices: Embed Systems,Farajidavar,05/13/2025,5:45:00 PM,8:24:00 PM,"Guiliano Global Ctr., Rm. 409",New York City
Spring 2025,EENG 650 W01,Medical Devices: Embed Systems,Farajidavar,05/13/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 235",Long Island
Spring 2025,EENG 661 M01,Introduction to Vlsi Design,Artan,05/13/2025,5:45:00 PM,8:24:00 PM,"Guiliano Global Ctr., Rm. 405",New York City
Spring 2025,EENG 661 W01,Introduction to Vlsi Design,Artan,05/13/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 228",Long Island
Spring 2025,EENG 665 M01,Linear Systems,Wernicki,05/12/2025,5:45:00 PM,8:24:00 PM,"Guiliano Global Ctr., Rm. 704",New York City
Spring 2025,EENG 665 W01,Linear Systems,Wernicki,05/12/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 235",Long Island
Spring 2025,EENG 751 M01,Signal Processing I,Ravan,05/15/2025,5:45:00 PM,8:24:00 PM,"Guiliano Global Ctr., Rm. 706",New York City
